source,relation,target
Paper - fig8,mentions,Concept - Research Papers
Paper - fig8a,mentions,Concept - Research Papers
Paper - fig 2 barplot,mentions,Concept - Research Papers
Paper - fmats-10-1337485,mentions,Concept - Research Papers
Paper - gic aisci faqs,mentions,Concept - Research Papers
"Paper - Gonzales,Woods-Digital.Image.Processing.4th.Edition",mentions,Concept - Reference and Textbook
Paper - Digital twin enhanced three organ m,mentions,Concept - Digital Twins and Modeling
Paper - hardman-et-al-2024-an-in-vitro-agent-based-modelling-approach-to-optimization-of-c,mentions,Concept - Optimization and Bayesian Search
Paper - hardman-et-al-2024-an-in-vitro-agent-based-modelling-approach-to-optimization-of-c,mentions,Concept - Digital Twins and Modeling
Paper - Heliyon,mentions,Concept - Research Papers
Paper - Huang-K-06-02-2025-Biomni--A-General-Purpose-Biomedical-AI-Agent---PubMed,mentions,Concept - Biomedical AI Agents
Paper - jamasurgery gowrishankar 2025 rv 250005 1749660686.74699-2,mentions,Concept - Research Papers
Paper - jamasurgery gowrishankar 2025 rv 250005 1749660686.74699,mentions,Concept - Research Papers
Paper - journal.pone.0291625,mentions,Concept - Research Papers
Paper - Kane-KIW-02-11-2019-Automated-microfluidic-cell-culture-of-stem-cell-derived-dopam,mentions,Concept - Microfluidics
Paper - Kane-KIW-02-11-2019-Automated-microfluidic-cell-culture-of-stem-cell-derived-dopam (2),mentions,Concept - Microfluidics
"Paper - Leung,-Chak-Ming-2022-05-12-A-guide-to-the-organ-on-a-chip",mentions,Concept - Organ-on-Chip
"Paper - Leung,-Chak-Ming-2022-05-12-A-guide-to-the-organ-on-a-chip",mentions,Concept - Reference and Textbook
"Paper - Li,-Songhao-2025-09-24-A-co-evolving-agentic-AI-system-for-medical-imaging-analysi",mentions,Concept - Research Papers
Paper - Liu 2026 Biofabrication 18 013001,mentions,Concept - Biofabrication
Paper - luo-et-al-2024-review-of-ionic-conductivity-properties-of-nasicon-type-inorganic-s,mentions,Concept - Research Papers
"Paper - medip,1388-5211-1-CE",mentions,Concept - Research Papers
Paper - mirror coloration,mentions,Concept - Research Papers
Paper - mmc2,mentions,Concept - Research Papers
Paper - Self driving laboratories in Japan,mentions,Concept - Self-Driving Labs
Paper - Nov A human kidney and liver organoid based multi organ on a chip model to study t,mentions,Concept - Organ-on-Chip
Paper - Nov A human kidney and liver organoid based multi organ on a chip model to study t,mentions,Concept - Organoids
Paper - Nov A human kidney and liver organoid based multi organ on a chip model to study t,mentions,Concept - Digital Twins and Modeling
Paper - Nov A human kidney and liver organoid based multi organ on a chip model to study t,mentions,Concept - Cancer and Therapeutics
Paper - nmeth.3507,mentions,Concept - Research Papers
Paper - nn1c11421 si 001,mentions,Concept - Research Papers
Paper - Optimizing Patient-Specific Multidrug Regimens Cancer Therapy Feb 28 IY,mentions,Concept - Optimization and Bayesian Search
Paper - Optimizing Patient-Specific Multidrug Regimens Cancer Therapy Feb 28 IY,mentions,Concept - Cancer and Therapeutics
Paper - Robotics Engineering Assistant Job Post,mentions,Concept - Lab Automation
Paper - s11671-021-03553-8,mentions,Concept - Research Papers
Paper - s11912-020-00942-7,mentions,Concept - Research Papers
Paper - s12951-024-02625-y,mentions,Concept - Research Papers
Paper - s13206-023-00114-2,mentions,Concept - Research Papers
Paper - s41392-024-01856-7,mentions,Concept - Research Papers
Paper - s41467-021-22518-0 1,mentions,Concept - Research Papers
Paper - s41467-021-22518-0,mentions,Concept - Research Papers
Paper - s41467-025-56818-6,mentions,Concept - Research Papers
Paper - s41551-019-0497-x,mentions,Concept - Research Papers
Paper - s41551-022-00882-6,mentions,Concept - Research Papers
Paper - s41573-020-0090-8,mentions,Concept - Research Papers
Paper - s41573-022-00615-z,mentions,Concept - Research Papers
Paper - s41587-024-02490-y,mentions,Concept - Research Papers
Paper - s41598-017-01013-x,mentions,Concept - Research Papers
Paper - s41598-025-17876-4,mentions,Concept - Research Papers
Paper - s41598-025-89069-y,mentions,Concept - Research Papers
Paper - s41746-025-01836-3,mentions,Concept - Research Papers
Paper - s43588-025-00885-8,mentions,Concept - Research Papers
Paper - s44222-024-00207-z,mentions,Concept - Research Papers
Paper - s44386-024-00004-z,mentions,Concept - Research Papers
Paper - sciadv.adt1851,mentions,Concept - Research Papers
Paper - Empowering biomedical discovery with AI agents,mentions,Concept - Biomedical AI Agents
Paper - TakaHuman Robotic Automation Advisor JD 8,mentions,Concept - Lab Automation
Paper - Undermind - Comparative analyses of organoid and organ-on-chip biofabrication work,mentions,Concept - Self-Driving Labs
Paper - Undermind - Comparative analyses of organoid and organ-on-chip biofabrication work,mentions,Concept - Lab Automation
Paper - Undermind - Comparative analyses of organoid and organ-on-chip biofabrication work,mentions,Concept - Organoids
Paper - Undermind - Comparative analyses of organoid and organ-on-chip biofabrication work,mentions,Concept - Biofabrication
Paper - Undermind - Software wrappers and intermediate device OSs for Pythonic lab automat,mentions,Concept - Lab Automation
Paper - Undermind - Software wrappers and intermediate device OSs for Pythonic lab automat,mentions,Concept - Biomedical AI Agents
Paper - Feb 16 CellSAM A Foundation Model for Cell Segmentation,mentions,Concept - Foundation Models
Paper - Feb 16 CellSAM A Foundation Model for Cell Segmentation,mentions,Concept - Computer Vision for Biology
Paper - Feb 16 CellSAM A Foundation Model for Cell Segmentation,mentions,Concept - Digital Twins and Modeling
Paper - Organ On A Chip OOC Image Dataset for Machine Learning and Tissue Model Evaluation,mentions,Concept - Organ-on-Chip
Paper - Organ On A Chip OOC Image Dataset for Machine Learning and Tissue Model Evaluation,mentions,Concept - Biofabrication
Paper - Organ On A Chip OOC Image Dataset for Machine Learning and Tissue Model Evaluation,mentions,Concept - Digital Twins and Modeling
Paper - Organ On A Chip OOC Image Dataset for Machine Learning and Tissue Model Evaluation (2),mentions,Concept - Organ-on-Chip
Paper - Organ On A Chip OOC Image Dataset for Machine Learning and Tissue Model Evaluation (2),mentions,Concept - Biofabrication
Paper - Organ On A Chip OOC Image Dataset for Machine Learning and Tissue Model Evaluation (2),mentions,Concept - Digital Twins and Modeling
"Paper - Wang,-Wei-2024-12-30-Artificial-intelligence-driven-rational-design-of-ionizable-l",mentions,Concept - Materials Discovery
"Paper - Wenckstern,-Johann-2025-01-10-AI-powered-virtual-tissues-from-spatial-proteomics-f",mentions,Concept - Biofabrication
"Paper - Wenckstern,-Johann-2025-01-10-AI-powered-virtual-tissues-from-spatial-proteomics-f",mentions,Concept - Biosensors and Diagnostics
"Paper - Wu,-Tianyi-2025-02-08-Self-driving-lab-for-the-photochemical-synthesis-of-plasmoni",mentions,Concept - Self-Driving Labs
"Paper - Wu,-Tianyi-2025-02-08-Self-driving-lab-for-the-photochemical-synthesis-of-plasmoni",mentions,Concept - Materials Discovery
Paper - 7 3 Robust cardiomyocyte differentiation from human pluripotent stem cells via tem,mentions,Concept - iPSC and Stem Cells
Paper - An artificial intelligence enabled chemical synthesis robot for exploration and op,mentions,Concept - Lab Automation
Paper - An artificial intelligence enabled chemical synthesis robot for exploration and op,mentions,Concept - Optimization and Bayesian Search
Paper - An artificial intelligence enabled chemical synthesis robot for exploration and op,mentions,Concept - Materials Discovery
Paper - yin2019,mentions,Concept - Research Papers
Paper - El Agente An autonomous agent for quantum chemistry,mentions,Concept - Self-Driving Labs
Paper - El Agente An autonomous agent for quantum chemistry,mentions,Concept - Biomedical AI Agents
